"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Robert Gallo Barber at Him med spa",,,"21045 Califa St","Woodland Hills","California","US","http://www.himmedspa.com/","","Barber shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Robert%20Gallo%20Barber%20at%20Him%20med%20spa&query_place_id=ChIJSV1njjyfwoARVkSgzqkVp9M","Barber shop"
"Winnetka Medical Group","4","1","6742 Winnetka Ave","Winnetka","California","US",,"(818) 297-7199","Medical spa","Facial spa","Family practice physician","Hair removal service","Laser hair removal service","Medical clinic","Skin care clinic","Spa","Weight loss service",,"https://www.google.com/maps/search/?api=1&query=Winnetka%20Medical%20Group&query_place_id=ChIJRyQM_PybwoARiTbU9CfdFeY","Medical spa"
"Grossman Plastic Surgery","4.2","47","7325 Medical Center Dr #200","West Hills","California","US","https://grossmanmed.com/","(818) 981-2050","Medical spa","Cosmetic surgeon","Plastic surgeon","Plastic surgery clinic","Weight loss service",,,,,,"https://www.google.com/maps/search/?api=1&query=Grossman%20Plastic%20Surgery&query_place_id=ChIJi5eVTrKdwoARBfXgaBnqG2E","Medical spa"
"Burke Williams Day Spa","4.4","240","6256 CA-27","Woodland Hills","California","US","https://www.burkewilliams.com/","(818) 200-0260","Day spa","Facial spa","Massage therapist","Spa",,,,,,,"https://www.google.com/maps/search/?api=1&query=Burke%20Williams%20Day%20Spa&query_place_id=ChIJ3wybyiGcwoARkwyNho6OKxU","Day spa"
"Vessel Aesthetics","5","20","19905 Ventura Blvd","Woodland Hills","California","US","https://vesselaesthetics.com/","(818) 443-1918","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vessel%20Aesthetics&query_place_id=ChIJ99ifwk2ZwoAR8jJJCgRgn58","Medical spa"
"VIP Urgent Care","4.2","331","18751 Ventura Blvd #100","Tarzana","California","US","https://www.vip-urgentcare.com/","(818) 600-4144","Urgent care center","Doctor","Medical clinic","Physical examination center","STD testing service","Walk-in clinic",,,,,"https://www.google.com/maps/search/?api=1&query=VIP%20Urgent%20Care&query_place_id=ChIJ69AI2w6ZwoARE0WRnHI5fzo","Urgent care center"
"the wellden",,,,,,,"https://thewellden.com/","(818) 305-4472","Medical spa","Service establishment",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=the%20wellden&query_place_id=ChIJScb3bGOm9aYRBsk05DPHl2o","Medical spa"
"Tri Health Medical Institute",,,"17777 Ventura Blvd","Encino","California","US",,"(855) 874-4325","Medical spa","Chiropractor","Weight loss service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tri%20Health%20Medical%20Institute&query_place_id=ChIJ8XSyx7KZwoAReeA06AU2uE8","Medical spa"
"Libbe Bar - Colon Hydrotherapy Center","5","16","22311 Ventura Blvd Suite 126","Woodland Hills","California","US",,"(818) 456-4440","Alternative medicine practitioner",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Libbe%20Bar%20-%20Colon%20Hydrotherapy%20Center&query_place_id=ChIJ544WesifwoARy67xPLFLsiQ","Alternative medicine practitioner"
"Lumina Skin Therapy","4.9","48","10237 1/2 Sepulveda Blvd","Mission Hills","California","US","http://luminaskinca.com/","(818) 493-9087","Facial spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lumina%20Skin%20Therapy&query_place_id=ChIJAR6fNmdZwoARN1sGs3ZrCKE","Facial spa"
"Magical Touch Day Spa","4.5","21","19641 Parthenia St # 103","Northridge","California","US",,"(818) 998-2639","Day spa","Massage therapist",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Magical%20Touch%20Day%20Spa&query_place_id=ChIJ87USyp6bwoARwjkA_ld4JCU","Day spa"
"Belle & Beau Aesthetics","5","2","16909 San Fernando Mission Blvd","Granada Hills","California","US","https://www.belleandbeauaesthetics.com/","(818) 359-9925","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Belle%20%26%20Beau%20Aesthetics&query_place_id=ChIJUf43cK5wAmgRQCbALQELnWk","Medical spa"
"Nu Vela Laser and Vein Center","4.6","47","11200 Corbin Ave #104","Porter Ranch","California","US","https://www.nuvelaveins.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Nu-Vela-Laser-and-Vein-Center&utm_content=website","(818) 832-4500","Medical spa","Medical clinic","Vascular surgeon",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nu%20Vela%20Laser%20and%20Vein%20Center&query_place_id=ChIJBe5Ru7SEwoAR7o7HSo4qGxg","Medical spa"
"Mroue' Health & Anti Aging Center","5","7","17075 Devonshire St #206","Northridge","California","US","http://www.mrouemedicalcenter.com/","(818) 363-9600","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mroue'%20Health%20%26%20Anti%20Aging%20Center&query_place_id=ChIJmRKb942awoARbLb4gwINyq4","Medical spa"
"Best Facial Spa","5","106","9301 Tampa Ave Space #565 Suite #110","Northridge","California","US","https://bestfacialspa.com/","(818) 600-1889","Facial spa","Day spa","Spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Best%20Facial%20Spa&query_place_id=ChIJXeM-sP2bwoARea3mr3udYPo","Facial spa"
"LaserAway Porter Ranch","4.8","117","20159 Rinaldi St Suite 110","Porter Ranch","California","US","https://www.laseraway.com/locations/ca/porter-ranch/?utm_source=google&utm_medium=organic&utm_campaign=website-link","(818) 232-8001","Laser hair removal service","Hair removal service","Health and beauty shop","Medical spa","Skin care clinic","Tattoo removal service",,,,,"https://www.google.com/maps/search/?api=1&query=LaserAway%20Porter%20Ranch&query_place_id=ChIJobS8L3WFwoARm_w1DaM1pRg","Laser hair removal service"
"Lilliderm MedSpa",,,"9535 Reseda Blvd","Northridge","California","US","https://lilliderm.net/","","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lilliderm%20MedSpa&query_place_id=ChIJbUaZcNWbwoARDsQGb4L-jUU","Medical spa"
"Naya Wellness","4.7","99","21800 Devonshire St Suite B","Chatsworth","California","US","https://nayawell.com/","(818) 341-8888","Medical spa","Alternative medicine practitioner","Facial spa","Health and beauty shop","Health consultant","Laser hair removal service","Medical clinic","Skin care clinic","Weight loss service","Wellness center","https://www.google.com/maps/search/?api=1&query=Naya%20Wellness&query_place_id=ChIJvyCjw8mcwoARsQlIrAPY-90","Medical spa"
"Cosmetic Creations Skin Sanctuary & Med Spa","4.9","119","9923 CA-27","Chatsworth","California","US","http://cosmeticcreationsspa.com/","(818) 709-1422","Medical spa","Day spa","Facial spa","Laser hair removal service","Waxing hair removal service",,,,,,"https://www.google.com/maps/search/?api=1&query=Cosmetic%20Creations%20Skin%20Sanctuary%20%26%20Med%20Spa&query_place_id=ChIJF_IKClibwoAR2Yp1Si-ysoE","Medical spa"
"Be Well LA","5","28","22024 Lassen St","Chatsworth","California","US","https://bewellla.com/","(818) 776-0070","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Be%20Well%20LA&query_place_id=ChIJNZbzxPCdwoAR5ibIFDbiEg4","Medical spa"
"Skin Elevé","4.9","103","10316 CA-27 #B","Chatsworth","California","US","https://www.skineleve.com/?utm_source=google&utm_medium=gbp&utm_campaign=medical_spa","(747) 202-0304","Medical spa","Facial spa","Hair replacement service","Health spa","Laser hair removal service","Women's health clinic","Wellness center",,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Elev%C3%A9&query_place_id=ChIJ5Rs1zq6dwoARh-g1k6iDQd8","Medical spa"
"Spa & Salon Equipment, LA | Treatment Tables, Massage Tables, Medical Exam Tables, Spa Chairs & More","4.8","654","9667 Canoga Ave","Chatsworth","California","US","https://www.spaandequipment.com/","(800) 418-0830","Massage supply store","Barber supply store","Beauty product supplier","Beauty products wholesaler","Beauty supply store","Medical equipment manufacturer","Medical equipment supplier","Medical supply store",,,"https://www.google.com/maps/search/?api=1&query=Spa%20%26%20Salon%20Equipment%2C%20LA%20%7C%20Treatment%20Tables%2C%20Massage%20Tables%2C%20Medical%20Exam%20Tables%2C%20Spa%20Chairs%20%26%20More&query_place_id=ChIJ_7oYgOSTwoARwUPZRgAVXqg","Massage supply store"
"Mirror Mirror Med Spa","4.8","62","1051 Glendon Ave Suite #117","Los Angeles","California","US","https://mirrormedspa.com/","(310) 909-9747","Medical spa","Body shaping class","Dermatologist","Facial spa","Health spa","Laser hair removal service","Plastic surgery clinic","Skin care clinic","Spa","Weight loss service","https://www.google.com/maps/search/?api=1&query=Mirror%20Mirror%20Med%20Spa&query_place_id=ChIJ410UF5i9woARHtBeU10dqKM","Medical spa"
"Spa Medica Aesthetic","4.9","129","11633 San Vicente Blvd #240","Los Angeles","California","US","https://spamedicaaesthetic.com/","(424) 302-1354","Medical spa","Facial spa","Health spa","Massage spa","Spa",,,,,,"https://www.google.com/maps/search/?api=1&query=Spa%20Medica%20Aesthetic&query_place_id=ChIJe2zk6GRn02ARy3x3S6HQBFA","Medical spa"
"Curiva Med Spa","4.9","85","10300 Wilshire Blvd STE 200","Los Angeles","California","US","http://www.curivamedspa.com/","(424) 722-9250","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Curiva%20Med%20Spa&query_place_id=ChIJE8AfSva9woARTHvU2RAPLnE","Medical spa"
"Skinbiotic Med Spa","4.9","96","2154 Westwood Blvd #200","Los Angeles","California","US","http://www.skinbioticmedspa.com/","(424) 248-3553","Medical spa","Spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skinbiotic%20Med%20Spa&query_place_id=ChIJgQJp2XS7woARcI2Ic73N92M","Medical spa"
"Skin Specifics","4.9","81","11040 Santa Monica Blvd Suite 370","Los Angeles","California","US","https://linktr.ee/Skin_Specifics","(310) 481-0058","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Specifics&query_place_id=ChIJoR08dne7woAR_qHg8tNDXEo","Medical spa"
"Beauty Ranch Medical Spa","4.5","52","140 S Barrington Pl","Los Angeles","California","US","http://www.beautyranchspa.com/","(310) 587-3502","Medical spa","Facial spa","Laser hair removal service","Permanent make-up clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Beauty%20Ranch%20Medical%20Spa&query_place_id=ChIJFdNzCrGkwoAR4I9JpP8LWXI","Medical spa"
"Next Health Century City Westfield Mall","5","1487","10250 Santa Monica Blvd Suite 1440","Los Angeles","California","US","https://www.next-health.com/pages/locations-century-city","(310) 620-8372","Medical spa","Alternative medicine practitioner","Health spa","Medical Center","Naturopathic practitioner","Wellness center",,,,,"https://www.google.com/maps/search/?api=1&query=Next%20Health%20Century%20City%20Westfield%20Mall&query_place_id=ChIJAQAAjIy7woARwPbXRRmyZKA","Medical spa"
"Get Glowing Medspa","5","87","10351 Santa Monica Blvd suite 100 Room 16","Los Angeles","California","US","https://getglowingasap.com/","(424) 402-3518","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Get%20Glowing%20Medspa&query_place_id=ChIJLSdC4PG7woARDtLutjG92pQ","Medical spa"
"Beverly Hills Rejuvenation Center - Los Angeles","4.4","88","1860 S Sepulveda Blvd","Los Angeles","California","US","https://www.bhrcenter.com/med-spa-location/los-angeles-ca","(310) 861-3748","Medical spa","Hair removal service","Laser hair removal service","Medical laboratory","Plastic surgery clinic","Skin care clinic","Weight loss service","Wellness center",,,"https://www.google.com/maps/search/?api=1&query=Beverly%20Hills%20Rejuvenation%20Center%20-%20Los%20Angeles&query_place_id=ChIJl-08XXa7woAR1KVEhQX8jP0","Medical spa"
"South Coast MedSpa","4.8","231","11645 Wilshire Blvd #1120","Los Angeles","California","US","https://www.southcoastmedspa.com/los-angeles/","(877) 650-7267","Medical spa","Laser hair removal service","Dermatologist","Skin care clinic","Tattoo removal service","Wellness center",,,,,"https://www.google.com/maps/search/?api=1&query=South%20Coast%20MedSpa&query_place_id=ChIJwYEPKmG7woARUAyzBwwnMjU","Medical spa"
"West Empire Aesthetics","5","358","11645 Wilshire Blvd # 1155","Los Angeles","California","US","https://westempireaesthetics.com/","(424) 273-9732","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=West%20Empire%20Aesthetics&query_place_id=ChIJJ1XaLRy7woARL6ADbLaLPKs","Medical spa"
"Volure","4.9","224","6333 Wilshire Blvd #204","Los Angeles","California","US","https://www.voluremedspa.com/","(323) 651-9911","Medical spa","Facial spa","Health spa","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Volure&query_place_id=ChIJ0URE3M65woAR2lY4Pfq8dNU","Medical spa"
"Skinsation LA","4.9","367","6310 S San Vicente Blvd Suite 325","Los Angeles","California","US","https://www.skinsationla.com/","(323) 413-2287","Medical spa","Facial spa","Laser hair removal service","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Skinsation%20LA&query_place_id=ChIJ0a6m-Zm5woARTSn62s-fy1g","Medical spa"
"Brilliant Beauty","4.8","18","2403 S Moray Ave # 5","San Pedro","California","US","https://www.brilliantbeautymedspa.com/?utm_source=gmb_auth","(310) 906-6443","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Brilliant%20Beauty&query_place_id=ChIJaWr9Oe5J3YARxLOEHGI5eMc","Medical spa"
"BeautyBossMD Medical Spa - San Pedro","4.2","5","350 W 5th St UNIT 105","San Pedro","California","US",,"(949) 333-9056","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BeautyBossMD%20Medical%20Spa%20-%20San%20Pedro&query_place_id=ChIJFYx6Pz3NwoARBmr2Cq_y_z0","Medical spa"
"Skin Works Medical Spa – San Pedro","4","1","525 W 7th St","San Pedro","California","US","https://skinworksmed.com/locations/san-pedro-med-spa/","(310) 461-4117","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Works%20Medical%20Spa%20%E2%80%93%20San%20Pedro&query_place_id=ChIJHRvUUbk33YARB4yjQ2W-b-Y","Medical spa"
"Aesthetics & Hyperbarics","5","14","209 N Pacific Ave","San Pedro","California","US",,"(310) 833-2121","Skin care clinic","Facial spa","Laser hair removal service","Medical clinic","Weight loss service",,,,,,"https://www.google.com/maps/search/?api=1&query=Aesthetics%20%26%20Hyperbarics&query_place_id=ChIJj7SdUSM23YARxoU_Dy2AC7o","Skin care clinic"
"Anisah Riaz, BSN, RN","5","1","2403 S Moray Ave # 5","San Pedro","California","US","https://www.brilliantbeautymedspa.com/?utm_source=gmb_auth","(310) 906-6443","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Anisah%20Riaz%2C%20BSN%2C%20RN&query_place_id=ChIJ-Rgjte9J3YARltCGlumXkJk","Medical spa"
"Naveed Riaz, MD","5","1","2403 S Moray Ave # 5","San Pedro","California","US","https://www.brilliantbeautymedspa.com/?utm_source=gmb_auth","(310) 906-6443","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Naveed%20Riaz%2C%20MD&query_place_id=ChIJkR41Bq1J3YARr_-zgmhVe6Q","Medical spa"
"gr8skin MedSpa","5","7","11613 W Pico Blvd","Los Angeles","California","US",,"(310) 268-2288","Medical spa","Eyebrow bar","Eyelash salon","Facial spa","Hair replacement service","Laser hair removal service","Skin care clinic","Weight loss service",,,"https://www.google.com/maps/search/?api=1&query=gr8skin%20MedSpa&query_place_id=ChIJkYFjXAm7woARUcJOHbUt0xM","Medical spa"
"Skin Spa by Dr Kia","4.9","147","11661 San Vicente Blvd Suite 101","Los Angeles","California","US","http://www.skinspabydrkia.com/","(310) 312-1231","Medical spa","Dermatologist","Esthetics service","Facial spa","Health spa","Laser hair removal service","Medical clinic","Plastic surgeon","Skin care clinic","Tattoo removal service","https://www.google.com/maps/search/?api=1&query=Skin%20Spa%20by%20Dr%20Kia&query_place_id=ChIJQ5GmDKC8woARd4fdQraTndw","Medical spa"
"Rejuvify Med Spa","5","55","8407 W 3rd St","Los Angeles","California","US","https://www.rejuvifymedspa.com/","(310) 962-8900","Medical spa","Chiropractor","Facial spa","Health and beauty shop","Health spa","Massage therapist","Skin care clinic","Weight loss service","Wellness center",,"https://www.google.com/maps/search/?api=1&query=Rejuvify%20Med%20Spa&query_place_id=ChIJCVIYKZO5woARp_sZ1NzTiLE","Medical spa"
"Skin Select - Brentwood Los Angeles Med Spa","5","38","11620 Wilshire Blvd #700","Los Angeles","California","US","http://www.skinselect.com/","(310) 218-5701","Medical spa","Laser hair removal service","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Select%20-%20Brentwood%20Los%20Angeles%20Med%20Spa&query_place_id=ChIJW4q5XM27woARvis5Cly4D3I","Medical spa"
"My Youth Med Spa","4.9","42","8000 Sunset Blvd Ste B Studio 60","West Hollywood","California","US","https://westhollywoodmedicalspa.com/","(747) 222-6205","Medical spa","IV therapy service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=My%20Youth%20Med%20Spa&query_place_id=ChIJa5gqeyi_woARSna0kWVPpDc","Medical spa"
"Glam Bar Medical Spa","4.8","50","346 N La Cienega Blvd","Los Angeles","California","US","http://www.glambarmedicalspa.com/","(310) 467-2711","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Glam%20Bar%20Medical%20Spa&query_place_id=ChIJ38SU7b6_woARR9zfNrFsxh0","Medical spa"
"TU Beauty Boutique Med Spa","4.8","35","6009 Washington Blvd","Culver City","California","US","https://www.tubeautymedspa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8334144290762882380","(310) 985-7888","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TU%20Beauty%20Boutique%20Med%20Spa&query_place_id=ChIJY7aC47W5woARBaAI2__isaE","Medical spa"
"Tulip Advanced Aesthetic & Medical","4.5","17","1600 Wilshire Blvd suite 516","Los Angeles","California","US","https://tulipmd.com/","(424) 468-7065","Medical spa","Esthetics service","Health spa","Skin care clinic","Spa and health club","Wellness center",,,,,"https://www.google.com/maps/search/?api=1&query=Tulip%20Advanced%20Aesthetic%20%26%20Medical&query_place_id=ChIJBZFxRBS7woARf2x4adwJ4xw","Medical spa"
"LYEV Beverly Hills- Medical Spa","4.9","210","8814 Burton Wy","Beverly Hills","California","US","http://www.lyevbeverlyhills.com/","(310) 601-7400","Medical spa","Dermatologist","Facial spa","Hair removal service","Health and beauty shop","Laser hair removal service","Medical Center","Skin care clinic","Spa","Wellness center","https://www.google.com/maps/search/?api=1&query=LYEV%20Beverly%20Hills-%20Medical%20Spa&query_place_id=ChIJF_W3VIK5woARnqq3kKbGbxw","Medical spa"
"modMD - Venice","5","92","208 Lincoln Blvd","Venice","California","US","https://www.modmd.com/","(833) 663-6399","Medical spa","Facial spa","Home health care service","IV therapy service","Medical laboratory","Urgent care center","Weight loss service",,,,"https://www.google.com/maps/search/?api=1&query=modMD%20-%20Venice&query_place_id=ChIJ-QmXyGq7woAR5ve89OnhzdU","Medical spa"
"JASI Skin + Wellness Med Spa","5","289","11695 National Blvd","Los Angeles","California","US","https://jasiskin.com/","(424) 478-0522","Medical spa","Cosmetics store","Facial spa","Health spa","Laser hair removal service","Medical clinic","Skin care clinic","Weight loss service","Wellness center","Wellness program","https://www.google.com/maps/search/?api=1&query=JASI%20Skin%20%2B%20Wellness%20Med%20Spa&query_place_id=ChIJPTaTiWelwoAR23ifCkWI5gs","Medical spa"
"Next Health Studio City","5","1439","12833 Ventura Blvd #161","Studio City","California","US","https://www.next-health.com/location/studio-city","(310) 620-8372","Medical spa","Alternative medicine practitioner","Health spa","Medical clinic","Naturopathic practitioner","Wellness center",,,,,"https://www.google.com/maps/search/?api=1&query=Next%20Health%20Studio%20City&query_place_id=ChIJKWAzP169woAR7sBHaf4ROaI","Medical spa"
"My Botox LA","5","245","12457 Ventura Blvd # 205","Studio City","California","US","https://www.mybotoxla.com/","(818) 850-3345","Medical spa","Beauty salon","Hair replacement service","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=My%20Botox%20LA&query_place_id=ChIJOzVUrCCWwoARSyqJOccz3HM","Medical spa"
"Sassy Med Spa","4.9","53","4315 Woodman Ave 2nd Floor","Sherman Oaks","California","US","https://www.sassymedspa.com/","(818) 514-5454","Medical spa","Hair removal service","Laser hair removal service","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Sassy%20Med%20Spa&query_place_id=ChIJPd215N-VwoARb6udBAo91QQ","Medical spa"
"Blue Medical Spa","4.5","168","14622 Ventura Blvd #118","Sherman Oaks","California","US","https://bluespa.com/","(818) 783-3600","Medical spa","Health spa","Laser hair removal service","Skin care clinic","Spa",,,,,,"https://www.google.com/maps/search/?api=1&query=Blue%20Medical%20Spa&query_place_id=ChIJ69AqdsWXwoARILzUCMZWyBE","Medical spa"
"GC Skin Medspa","4.9","159","13320 Riverside Dr #218","Sherman Oaks","California","US","https://gcskin.com/","(818) 458-9556","Medical spa","Facial spa","Laser hair removal service","Skin care clinic","Weight loss service","Wellness center",,,,,"https://www.google.com/maps/search/?api=1&query=GC%20Skin%20Medspa&query_place_id=ChIJEatliA3GwoAR1PP1BLcdmaY","Medical spa"
"Prolase","4.9","792","15030 Ventura Blvd #12","Sherman Oaks","California","US","http://prolaseclinic.com/","(818) 507-0909","Medical spa","Laser hair removal service","Skin care clinic","Weight loss service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Prolase&query_place_id=ChIJW3unOqiZwoARKI7dRmPTneY","Medical spa"
"The Bliss Room | Medical Spa & Wellness","4.8","144","13320 Riverside Dr #226","Sherman Oaks","California","US","https://blissaesthetics.la/?utm_source=google&utm_medium=organic&utm_campaign=gbp","(888) 267-8143","Medical spa","Facial spa","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Bliss%20Room%20%7C%20Medical%20Spa%20%26%20Wellness&query_place_id=ChIJs_SuqVa_woARggyl0cSMtRs","Medical spa"
"New Beauty Med Spa","4.7","219","15622 Ventura Blvd","Encino","California","US","http://newbeautymedicalspa.com/","(213) 223-7963","Day spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=New%20Beauty%20Med%20Spa&query_place_id=ChIJn5JLon-XwoARI91tykimVWQ","Day spa"
"Lauréate Aesthetics","4.8","207","14241 Ventura Blvd ste 201","Sherman Oaks","California","US","https://laureatela.com/?utm_campaign=gmb","(818) 717-7664","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Laur%C3%A9ate%20Aesthetics&query_place_id=ChIJTZc2Abe_woAR--YlxKxPLQU","Medical spa"
"Tatoyan MD Medspa","4.4","7","5651 Sepulveda Blvd STE 102","Sherman Oaks","California","US","http://www.tatoyanmdmedspa.com/","(818) 848-6688","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tatoyan%20MD%20Medspa&query_place_id=ChIJUbG1No6XwoARUOO3TTDwNzI","Medical spa"
"A E Skin","5","229","16311 Ventura Blvd # 845","Encino","California","US","http://www.aeskin.com/","(818) 835-1833","Medical spa","Medical clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=A%20E%20Skin&query_place_id=ChIJG4LYT4yXwoARIUnkrox5pBY","Medical spa"
"Petra Medi Spa","4.9","56","16733 Ventura Blvd #8","Encino","California","US","https://www.petramedispa.com/","(818) 646-2555","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Petra%20Medi%20Spa&query_place_id=ChIJnwcHLjGYwoARx_DYcUPY4r8","Medical spa"
"Vendôme Clinique & Spa","4.8","81","8555 Beverly Blvd #90048","Los Angeles","California","US","https://vendomeclinique.com/?utm_source=google-map&utm_campaign=gmb&utm_medium=organic","(424) 338-9652","Medical spa","Massage spa","Wellness center",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vend%C3%B4me%20Clinique%20%26%20Spa&query_place_id=ChIJWWtJVQC_woAREnatIzoqY8Q","Medical spa"
"LA Muse Med Spa","5","1","10801 National Blvd #340","Los Angeles","California","US","https://www.lamusemedspa.com/","(310) 625-4061","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=LA%20Muse%20Med%20Spa&query_place_id=ChIJI8-1ReO7woARdCbVsyNYEhA","Medical spa"
"Elite Med Spa BH","5","3","463 S Robertson Blvd Suite #2","Beverly Hills","California","US",,"(213) 309-8612","General practitioner",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Elite%20Med%20Spa%20BH&query_place_id=ChIJE2p_iFy5woAR_gkqA57Y7kY","General practitioner"
"YouthFill MD Med Spa - Beverly Hills","4.5","99","123 B Robertson Blvd","Los Angeles","California","US","http://youthfillmd.com/","(310) 276-1080","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=YouthFill%20MD%20Med%20Spa%20-%20Beverly%20Hills&query_place_id=ChIJsdCeKK2-woARknmOoN3WZEo","Medical spa"
"Reine Concierge","5","14","1086 S Fairfax Ave","Los Angeles","California","US","http://reinemedspa.com/","(213) 297-4417","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Reine%20Concierge&query_place_id=ChIJg6M_BP-5woARHAYYs93fzZY","Medical spa"
"Your Laser Skin Care","5","236","6221 Wilshire Blvd #102","Los Angeles","California","US","https://www.yourlaserskincare.com/","(323) 525-1516","Medical spa","Laser hair removal service","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Your%20Laser%20Skin%20Care&query_place_id=ChIJ9U9Hqz65woARNsmSfOgg-f4","Medical spa"
"RIVKIN Aesthetics","4.8","223","11645 Wilshire Blvd #800","Los Angeles","California","US","https://westsideaesthetics.com/?utm_source=gmb&utm_medium=organic","(310) 443-5273","Medical spa","Facial spa","Plastic surgeon","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=RIVKIN%20Aesthetics&query_place_id=ChIJAw8o2mC7woARYAsAj_6tAzY","Medical spa"
"Alliance Health Choice","4.5","229","1740 Westwood Blvd A","Los Angeles","California","US","http://alliancehealthchoice.com/","(310) 441-4000","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Alliance%20Health%20Choice&query_place_id=ChIJd4Ed64K7woARoufLLY1-qtM","Medical spa"
"Kian Aesthetic Institute","5","361","12301 Wilshire Blvd #600","Los Angeles","California","US","https://www.thekianinstitute.com/","(310) 295-6422","Medical spa","Plastic surgery clinic","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kian%20Aesthetic%20Institute&query_place_id=ChIJKejX2WC7woARg29KU_wdJ2A","Medical spa"
"GOODSKIN Los Angeles","4.7","62","11760 San Vicente Blvd","Los Angeles","California","US","https://www.goodskinclinics.com/","(310) 400-6534","Medical spa","Dermatologist","Facial spa","Health and beauty shop","Plastic surgery clinic","Skin care clinic",,,,,"https://www.google.com/maps/search/?api=1&query=GOODSKIN%20Los%20Angeles&query_place_id=ChIJb2E1gae8woAR2hUoBYE2oyM","Medical spa"
"Alchemy 43 Los Angeles","4.8","67","8110 W 3rd St","Los Angeles","California","US","https://alchemy43.com/","(323) 880-4343","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Alchemy%2043%20Los%20Angeles&query_place_id=ChIJSdBBiza5woARbQV-Qr-HZg8","Medical spa"
"YouthFill MD Med Spa - Culver City","4.3","18","3815 Main St","Culver City","California","US","http://youthfillmd.com/","(424) 603-4101","Medical spa","Day spa","Health spa","Laser hair removal service","Skin care clinic","Wellness center",,,,,"https://www.google.com/maps/search/?api=1&query=YouthFill%20MD%20Med%20Spa%20-%20Culver%20City&query_place_id=ChIJUWB74JO7woAR8J9wz6JucNE","Medical spa"
